model,horizon,coverage_95,avg_interval_width
arima_011,1,0.8842975206611571,13.410457582073343
arima_011,2,0.8842975206611571,16.400450828470593
arima_011,3,0.8760330578512396,18.923335617341916
arima_011,4,0.8677685950413223,21.147197014600998
arima_011,5,0.8512396694214877,23.15841119301756
arima_011,6,0.8181818181818182,25.008363219473917
arima_011,7,0.8016528925619835,26.730568693193945
arima_011,8,0.8181818181818182,28.34832639060531
arima_011,9,0.8099173553719008,29.878610756821857
arima_011,10,0.8016528925619835,31.334242671853445
arima_011,11,0.7851239669421488,32.72518687096672
arima_011,12,0.8181818181818182,34.05937057371598
arima_012,1,0.8760330578512396,13.324789942709163
arima_012,2,0.859504132231405,15.665477458775234
arima_012,3,0.8925619834710744,18.678455371820426
arima_012,4,0.8760330578512396,21.268309581769884
arima_012,5,0.8512396694214877,23.575154790847847
arima_012,6,0.8264462809917356,25.67547266294575
arima_012,7,0.8181818181818182,27.616461184922514
arima_012,8,0.859504132231405,29.429680130423133
arima_012,9,0.8181818181818182,31.137468314513796
arima_012,10,0.8099173553719008,32.75632581478813
arima_012,11,0.8016528925619835,34.29885066236491
arima_012,12,0.8347107438016529,35.774920314776864
sarima_011_001_12,1,0.8925619834710744,12.97728262412668
sarima_011_001_12,2,0.8925619834710744,15.998228009986866
sarima_011_001_12,3,0.859504132231405,18.532893061301667
sarima_011_001_12,4,0.8512396694214877,20.76029104210302
sarima_011_001_12,5,0.8264462809917356,22.770807076645088
sarima_011_001_12,6,0.8181818181818182,24.617650863867503
sarima_011_001_12,7,0.8181818181818182,26.33528550569732
sarima_011_001_12,8,0.8512396694214877,27.94754779097461
sarima_011_001_12,9,0.8181818181818182,29.471737979010474
sarima_011_001_12,10,0.7933884297520661,30.920884019587582
sarima_011_001_12,11,0.7851239669421488,32.30508723110801
sarima_011_001_12,12,0.8016528925619835,33.63236757614257
sarima_012_001_12,1,0.8842975206611571,12.908355623282844
sarima_012_001_12,2,0.8842975206611571,15.376976648452853
sarima_012_001_12,3,0.859504132231405,18.363649569745128
sarima_012_001_12,4,0.8512396694214877,20.927771558018204
sarima_012_001_12,5,0.8347107438016529,23.21010352154519
sarima_012_001_12,6,0.8264462809917356,25.28716095740509
sarima_012_001_12,7,0.8181818181818182,27.206042350085163
sarima_012_001_12,8,0.8347107438016529,28.998186234710687
sarima_012_001_12,9,0.8264462809917356,30.685817491780465
sarima_012_001_12,10,0.8016528925619835,32.28533624932899
sarima_012_001_12,11,0.7851239669421488,33.809254736732306
sarima_012_001_12,12,0.8016528925619835,35.26737712836781
ucm_local_level_seasonal12,1,0.8842975206611571,13.927712636999418
ucm_local_level_seasonal12,2,0.8925619834710744,17.003943086141554
ucm_local_level_seasonal12,3,0.8760330578512396,19.581766594055946
ucm_local_level_seasonal12,4,0.8677685950413223,21.838903980619758
ucm_local_level_seasonal12,5,0.8429752066115702,23.866807580234088
ucm_local_level_seasonal12,6,0.8181818181818182,25.719982351422384
ucm_local_level_seasonal12,7,0.8181818181818182,27.434059615335705
ucm_local_level_seasonal12,8,0.8429752066115702,29.033867050721653
ucm_local_level_seasonal12,9,0.8181818181818182,30.537536364204716
ucm_local_level_seasonal12,10,0.8099173553719008,31.958821894527425
ucm_local_level_seasonal12,11,0.7933884297520661,33.308463841471266
ucm_local_level_seasonal12,12,0.8347107438016529,34.59513397551268
