model,window_type,horizon,n_forecasts,mae,rmse,mase,coverage_95,avg_interval_width
sarima_012_001_12,expanding,1,121,3.748091869269152,5.92466057041607,0.5152939712945415,0.8842975206611571,12.908355623282844
sarima_012_001_12,expanding,2,121,4.6506434956292395,7.556711913243548,0.6380168075821375,0.8842975206611571,15.376976648452853
sarima_012_001_12,expanding,3,121,5.700803591913409,9.545400510944091,0.7780796367684527,0.859504132231405,18.363649569745128
sarima_012_001_12,expanding,4,121,6.4829858679485755,11.199465528741971,0.885809753695816,0.8512396694214877,20.927771558018204
sarima_012_001_12,expanding,5,121,7.148630857536346,11.82844425410925,0.9801785153110606,0.8347107438016529,23.21010352154519
sarima_012_001_12,expanding,6,121,7.686984168943999,12.26860615083086,1.0566286885042535,0.8264462809917356,25.28716095740509
sarima_012_001_12,expanding,7,121,8.229116166577514,12.535091274460543,1.1354492012991473,0.8181818181818182,27.206042350085163
sarima_012_001_12,expanding,8,121,8.69429632999601,13.042169927745421,1.2022026303018147,0.8347107438016529,28.998186234710687
sarima_012_001_12,expanding,9,121,9.2923291312615,13.788191065177706,1.284833150874569,0.8264462809917356,30.685817491780465
sarima_012_001_12,expanding,10,121,9.822490316584412,14.964432997070176,1.3591024119490218,0.8016528925619835,32.28533624932899
sarima_012_001_12,expanding,11,121,10.364551195884744,15.348876694616392,1.4355697986096898,0.7851239669421488,33.809254736732306
sarima_012_001_12,expanding,12,121,10.568263409908278,15.562208169887791,1.469482897305035,0.8016528925619835,35.26737712836781
sarima_012_001_12,rolling120,1,121,3.8678098905862313,6.109526363594866,0.5878317581110548,0.8677685950413223,14.292162223769436
sarima_012_001_12,rolling120,2,121,4.849779652477135,7.749922689111335,0.7375045159953761,0.8512396694214877,16.517090877584533
sarima_012_001_12,rolling120,3,121,5.992740579851443,9.799875330737766,0.9008699177426901,0.8181818181818182,19.05718348141819
sarima_012_001_12,rolling120,4,121,6.798322830670876,11.40944315218242,1.0300746581446492,0.7933884297520661,21.277812130009462
sarima_012_001_12,rolling120,5,121,7.406244084478902,11.982116255196201,1.1417207978487782,0.768595041322314,23.2781342815429
sarima_012_001_12,rolling120,6,121,7.9773503844304905,12.471997422323861,1.2395513599827461,0.7603305785123967,25.11417088418043
sarima_012_001_12,rolling120,7,121,8.509381136805159,12.76866358851837,1.3347676198429799,0.7603305785123967,26.821378462796105
sarima_012_001_12,rolling120,8,121,9.015287035122972,13.32662330948096,1.4218791532265564,0.7768595041322314,28.42393674436488
sarima_012_001_12,rolling120,9,121,9.59012440196073,14.099669957851505,1.5148257167107189,0.7520661157024794,29.939234939080098
sarima_012_001_12,rolling120,10,121,10.177974819209332,15.29225889128357,1.6083756253526307,0.7272727272727273,31.3802876125656
sarima_012_001_12,rolling120,11,121,10.731912726951604,15.714700103822993,1.7020010019789151,0.7272727272727273,32.757142959460374
sarima_012_001_12,rolling120,12,121,10.928353424618214,15.961032895401525,1.7533898399795302,0.7603305785123967,34.07775504992741
