subperiod,horizon,n_forecasts,mae,rmse,mase,coverage_95,avg_interval_width
2015-2019 targets,1,60,2.345009302670678,3.2500965323717206,0.33604440524101803,0.9833333333333333,12.33470851680899
2020-2025 targets,1,61,5.128173082316831,7.696610175326929,0.6916050198717776,0.7868852459016393,13.472598678830899
2015-2019 targets,2,59,2.7311882547425075,3.5338681414998647,0.3911673367747613,0.9830508474576272,14.693402140322727
2020-2025 targets,2,62,6.477221870021452,9.978012981180525,0.8729219491568989,0.7903225806451613,16.02747497070572
2015-2019 targets,3,58,2.938484166131931,3.6400621926127874,0.4221936680701239,0.9655172413793104,17.619842486122778
2020-2025 targets,3,63,8.243891317236038,12.759292984468518,1.1057206873161205,0.7619047619047619,19.04842434514348
2015-2019 targets,4,57,2.7788002178657116,3.622864424283196,0.40248235257188725,1.0,20.132365098995415
2020-2025 targets,4,64,9.782026212553628,15.014918646431415,1.316273220321815,0.71875,21.63618043558538
2015-2019 targets,5,56,2.7425993680193836,3.4716782642935358,0.3971515707907545,1.0,22.370850676593516
2020-2025 targets,5,65,10.944596448504806,15.813538752414736,1.4824786521285551,0.6923076923076923,23.93315212642663
2015-2019 targets,6,55,2.714981719124634,3.806197050515672,0.3917786942723944,0.9818181818181818,24.410040608905906
2020-2025 targets,6,66,11.830319543793468,16.244332272054574,1.610670350364136,0.696969696969697,26.0180945811544
2015-2019 targets,7,54,3.0669457000754052,3.993792977039063,0.4398031601125533,0.9814814814814815,26.296206209096322
2020-2025 targets,7,67,12.389671467937422,16.459461488896714,1.6961191449420738,0.6865671641791045,27.939343120434373
2015-2019 targets,8,53,3.254805767317762,3.9736477933344605,0.46741862951550983,1.0,28.05967930746211
2020-2025 targets,8,68,12.933899268554056,17.040185331814833,1.7749019250323168,0.7058823529411765,29.729669575066197
2015-2019 targets,9,52,3.402131473829968,4.297258693094375,0.4888445543172297,1.0,29.722531257316135
2020-2025 targets,9,69,13.731318670195401,17.873778574469302,1.8847086149467671,0.6956521739130435,31.411772335144896
2015-2019 targets,10,51,3.6154895795504447,4.573952511828641,0.5207298878441843,1.0,31.298075275173876
2020-2025 targets,10,70,14.34473371070916,19.28325392116786,1.9699166795111183,0.6571428571428571,33.00462638764201
2015-2019 targets,11,50,3.8918277928569527,4.831961031685868,0.5603459627452666,1.0,32.80207479148008
2020-2025 targets,11,71,14.922807113509949,19.62276542928495,2.0519246125987203,0.6338028169014085,34.51853638831839
2015-2019 targets,12,49,4.199921613332635,5.052083097875192,0.6034106057427722,1.0,34.241968928525914
2020-2025 targets,12,72,14.90227379924448,19.739064293126695,2.0588932068404637,0.6666666666666666,35.965224375482435
