date,actual_2025,sarima_expanding_mean,sarima_rolling120_mean,ucm_mean,seasonal_naive_mean,sarima_lower_95,sarima_upper_95
2025-01-01,-128.331,-89.43247791374381,-88.39950840214345,-91.42260614061404,-67.077,-96.90522074299597,-81.95973508449165
2025-02-01,-119.78,-92.83200709310641,-92.57427736421023,-90.41601979882799,-66.431,-101.6267540638068,-84.03726012240602
2025-03-01,-135.856,-93.39900516066498,-92.99597554088926,-90.92387399529272,-66.266,-104.00547647632678,-82.79253384500319
2025-04-01,-60.084,-90.7871955769949,-90.94490281905608,-91.3997288172445,-73.11,-102.9381993734419,-78.6361917805479
2025-05-01,-70.564,-90.84395319681835,-90.92220606991886,-90.68954472327474,-74.456,-104.36418073752868,-77.32372565610801
2025-06-01,-57.637,-91.08791054083288,-91.10453642216584,-90.92240107117772,-73.892,-105.85091200543671,-76.32490907622905
2025-07-01,-74.233,-90.10576645697833,-90.22241065459588,-91.06957813936597,-78.639,-106.01475359429188,-74.19677931966478
2025-08-01,-56.011,-92.61069378672971,-92.18914644304323,-90.45527610732125,-71.214,-109.588489027176,-75.63289854628343
2025-09-01,-49.168,-89.61460578366045,-89.77953704629903,-90.66173447313186,-81.498,-107.59779767825563,-71.63141388906527
2025-10-01,-31.102,-91.20454343304607,-91.14815010986513,-90.3056735768034,-74.25,-110.13982400157612,-72.26926286451602
2025-11-01,-56.026,-89.73862525758757,-89.93386639126913,-90.32537312326059,-79.752,-109.58036181717154,-69.89688869800361
2025-12-01,-72.9,-84.73651894579275,-85.92899118328332,-91.42619297648618,-96.948,-105.44507199014728,-64.02796590143822
